Assessment_Unit_Name,Final_Total_Points,Final_Points_Possible,SEZ_ID,SEZ_Type,Final_Percent,Final_Rating,Year
Rosewood Creek - middle 2,34.5,60,322.0,Non-Channeled Meadow,0.575,D,2024
Rosewood Creek - middle 3,30.0,48,323.0,Non-Channeled Meadow,0.625,D,2024
Saxon Creek - headwaters,45.0,48,241.0,Channeled Meadow,0.9375,A,2024
Saxon Creek - upper,45.0,60,640.0,Channeled Meadow,0.75,C,2024
Saxon Creek meadows - above Fountain Place 1,48.0,60,369.0,Non-Channeled Meadow,0.8,B,2024
Saxon Creek meadows - above Fountain Place 2,51.0,60,408.0,Non-Channeled Meadow,0.85,B,2024
Saxon Creek meadows - below Fountain Place,42.0,48,368.0,Non-Channeled Meadow,0.875,B,2024
Saxon Creek tributary meadows - 1,54.0,60,407.0,Channeled Meadow,0.9,A,2024
Second Creek - lower,30.0,48,326.0,Channeled Meadow,0.625,D,2024
Second Creek - middle,36.0,48,328.0,Channeled Meadow,0.75,C,2024
Secret Harbor Creek - lower,21.0,36,329.0,Channeled Meadow,0.5833333333333334,D,2024
Skylandia SEZ,24.0,24,622.0,Non-Channeled Meadow,1.0,A,2024
Slaughterhouse meadows - 2,51.0,60,365.0,Channeled Meadow,0.85,B,2024
Snow Creek tributary - 1,18.0,36,451.0,Channeled Meadow,0.5,D,2024
Snow Creek wetlands - 1,42.0,48,367.0,Channeled Meadow,0.875,B,2024
Snow Creek wetlands - 2,48.0,48,433.0,Non-Channeled Meadow,1.0,A,2024
South Lake Tahoe tributary - 1,21.0,24,463.0,Non-Channeled Meadow,0.875,B,2024
South Lake Tahoe tributary - 2,24.0,36,464.0,Non-Channeled Meadow,0.6666666666666666,D,2024
South Lake Tahoe tributary - 3,18.0,36,627.0,Non-Channeled Meadow,0.5,D,2024
Spooner meadows - 1,39.0,48,445.0,Non-Channeled Meadow,0.8125,B,2024
Spooner meadows - 2,33.0,48,431.0,Channeled Meadow,0.6875,D,2024
Star Lake meadows,48.0,48,392.0,Non-Channeled Meadow,1.0,A,2024
Tahoe City tributary - 1,21.0,24,449.0,Non-Channeled Meadow,0.875,B,2024
Tahoe City tributary - 2,42.0,48,450.0,Non-Channeled Meadow,0.875,B,2024
Tallac Creek - abv highway - 1,45.0,72,603.0,Non-Channeled Meadow,0.625,D,2024
Tallac Creek - abv highway - 2,39.0,72,478.0,Non-Channeled Meadow,0.5416666666666666,D,2024
Taylor Creek,51.0,60,335.0,Channeled Meadow,0.85,B,2024
Taylor Creek marsh,42.0,48,362.0,Channeled Meadow,0.875,B,2024
Third Creek - lower,39.0,48,337.0,Non-Channeled Meadow,0.8125,B,2024
Third Creek - lower 2,39.0,48,338.0,Channeled Meadow,0.8125,B,2024
Third Creek - middle,45.0,48,340.0,Channeled Meadow,0.9375,A,2024
Third Creek - middle 1,33.0,48,339.0,Non-Channeled Meadow,0.6875,D,2024
Third Creek - middle 2,36.0,48,341.0,Non-Channeled Meadow,0.75,C,2024
Third Creek - upper 1,51.0,60,342.0,Non-Channeled Meadow,0.85,B,2024
Third Creek meadows - 1,39.0,48,435.0,Non-Channeled Meadow,0.8125,B,2024
Third Creek meadows - 7,48.0,48,376.0,Non-Channeled Meadow,1.0,A,2024
Third Creek meadows - 8,48.0,48,375.0,Non-Channeled Meadow,1.0,A,2024
Trout Creek - Highland Woods,39.0,48,412.0,Channeled Meadow,0.8125,B,2024
Trout Creek - upper,55.2,60,242.0,Channeled Meadow,0.92,A,2024
Trout Creek above Black Bart,42.0,72,425.0,Non-Channeled Meadow,0.5833333333333334,D,2024
Trout Creek headwaters meadows - 2,60.0,60,372.0,Non-Channeled Meadow,1.0,A,2024
Trout Creek meadows - above Fountain Place,54.0,60,360.0,Channeled Meadow,0.9,A,2024
Trout Creek meadows - above Pioneer 1,36.0,48,411.0,Non-Channeled Meadow,0.75,C,2024
Trout Creek meadows - above Pioneer 2,51.0,60,410.0,Non-Channeled Meadow,0.85,B,2024
Trout Creek meadows - above Pioneer 3,42.0,60,361.0,Non-Channeled Meadow,0.7,C,2024
Trout Creek meadows - above Pioneer 4,63.0,72,409.0,Non-Channeled Meadow,0.875,B,2024
UTR - Airport reach,45.0,72,400.0,Non-Channeled Meadow,0.625,D,2024
UTR - Christmas Valley 1,51.0,60,347.0,Channeled Meadow,0.85,B,2024
UTR - Christmas Valley 3,54.0,60,239.0,Channeled Meadow,0.9,A,2024
UTR - Johnson meadows - 2,36.0,60,398.0,Non-Channeled Meadow,0.6,D,2024
UTR - Johnson meadows - 3,39.0,48,399.0,Non-Channeled Meadow,0.8125,B,2024
UTR - Reach 5,48.0,60,397.0,Non-Channeled Meadow,0.8,B,2024
UTR - Reach 6,51.0,60,401.0,Channeled Meadow,0.85,B,2024
UTR - golf course meadows,33.0,48,402.0,Channeled Meadow,0.6875,D,2024
UTR - middle,39.0,60,238.0,Non-Channeled Meadow,0.65,D,2024
UTR Marsh - UTR side,36.0,60,396.0,Channeled Meadow,0.6,D,2024
UTR marsh - Trout Creek side,36.0,48,363.0,Channeled Meadow,0.75,C,2024
Upper Truckee River - Tahoe Paradise,48.0,60,644.0,Non-Channeled Meadow,0.8,B,2024
Ward Creek - lower,33.0,48,351.0,Channeled Meadow,0.6875,D,2024
Ward Creek - middle,54.0,60,352.0,Channeled Meadow,0.9,A,2024
West Shore tributary - 1,18.0,24,455.0,Non-Channeled Meadow,0.75,C,2024
West Shore tributary - 2 - upper,24.0,36,448.0,Non-Channeled Meadow,0.6666666666666666,D,2024
West Shore tributary - 4,18.0,24,454.0,Channeled Meadow,0.75,C,2024
Woods Creek - lower,27.0,48,353.0,Channeled Meadow,0.5625,D,2024
Woods Creek - middle,33.0,48,354.0,Channeled Meadow,0.6875,D,2024
Woods Creek - upper,42.0,48,264.0,Channeled Meadow,0.875,B,2024
small meadow 1,57.0,60,373.0,Channeled Meadow,0.95,A,2024
small meadow 111,48.0,48,381.0,Non-Channeled Meadow,1.0,A,2024
small meadow 113,48.0,48,423.0,Channeled Meadow,1.0,A,2024
small meadow 13,48.0,48,378.0,Non-Channeled Meadow,1.0,A,2024
small meadow 14,48.0,48,364.0,Non-Channeled Meadow,1.0,A,2024
small meadow 15,48.0,48,377.0,Non-Channeled Meadow,1.0,A,2024
small meadow 16,48.0,48,379.0,Non-Channeled Meadow,1.0,A,2024
small meadow 17,48.0,48,383.0,Channeled Meadow,1.0,A,2024
small meadow 50,48.0,48,380.0,Channeled Meadow,1.0,A,2024
small meadow 52,48.0,48,390.0,Non-Channeled Meadow,1.0,A,2024
small meadow 7,48.0,60,382.0,Channeled Meadow,0.8,B,2024
small meadow 95,51.0,60,391.0,Channeled Meadow,0.85,B,2024
Angora Creek - upper,36.0,36,266.0,Non-Channeled Meadow,1.0,A,2024
Big Meadow Creek - upper,36.0,36,237.0,Channeled Meadow,1.0,A,2024
Blackwood Creek - lower 1,21.0,36,269.0,Non-Channeled Meadow,0.5833333333333334,D,2024
Cascade Creek - upper,30.0,36,244.0,Channeled Meadow,0.8333333333333334,B,2024
Cold Creek - tributary 2,36.0,36,278.0,Channeled Meadow,1.0,A,2024
Cold Creek - upper,36.0,36,279.0,Channeled Meadow,1.0,A,2024
Dollar Creek - upper,33.0,36,258.0,Non-Channeled Meadow,0.9166666666666666,A,2024
Eagle Creek,36.0,36,243.0,Non-Channeled Meadow,1.0,A,2024
Echo Creek - upper,33.0,36,240.0,Non-Channeled Meadow,0.9166666666666666,A,2024
First Creek - lower,21.0,36,288.0,Non-Channeled Meadow,0.5833333333333334,D,2024
First Creek - upper,36.0,36,262.0,Non-Channeled Meadow,1.0,A,2024
General Creek - upper,30.0,36,290.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Glen Alpine Creek - upper,36.0,36,355.0,Non-Channeled Meadow,1.0,A,2024
Glenbrook Creek - upper,30.0,36,292.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Grass Lake Creek,27.0,36,356.0,Non-Channeled Meadow,0.75,C,2024
Griff Creek - tributary,36.0,36,293.0,Non-Channeled Meadow,1.0,A,2024
Griff Creek - upper,33.0,36,294.0,Non-Channeled Meadow,0.9166666666666666,A,2024
Hidden Valley Creek - upper,27.0,36,297.0,Non-Channeled Meadow,0.75,C,2024
Homewood Canyon Creek - upper,36.0,36,254.0,Non-Channeled Meadow,1.0,A,2024
Incline Creek - middle 3,18.0,36,637.0,Non-Channeled Meadow,0.5,D,2024
Madden Creek,36.0,36,306.0,Non-Channeled Meadow,1.0,A,2024
Marlette Creek - lower,27.0,36,307.0,Non-Channeled Meadow,0.75,C,2024
Marlette Creek - old dam site,24.0,24,477.0,Non-Channeled Meadow,1.0,A,2024
Marlette Creek - south fork (upper),36.0,36,308.0,Non-Channeled Meadow,1.0,A,2024
McKinney Creek - middle,36.0,36,311.0,Non-Channeled Meadow,1.0,A,2024
Meeks Creek - upper,45.0,48,248.0,Channeled Meadow,0.9375,A,2024
North Logan House Creek,33.0,36,255.0,Non-Channeled Meadow,0.9166666666666666,A,2024
North Zephyr Creek - upper,51.0,60,315.0,Non-Channeled Meadow,0.85,B,2024
Quail Creek - upper,39.0,48,319.0,Channeled Meadow,0.8125,B,2024
Rubicon Creek,24.0,36,324.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Rubicon Meadows,27.0,36,394.0,Channeled Meadow,0.75,C,2024
Second Creek - lower 2,15.0,36,327.0,Riverine (Perennial),0.4166666666666667,D,2024
Second Creek - upper,33.0,36,263.0,Riverine (Perennial),0.9166666666666666,A,2024
Secret Harbor Creek - upper,42.0,48,330.0,Riverine (Perennial),0.875,B,2024
Slaughterhouse Creek - lower,30.0,36,331.0,Riverine (Perennial),0.8333333333333334,B,2024
Slaughterhouse Creek - middle,30.0,36,332.0,Riverine (Perennial),0.8333333333333334,B,2024
Tallac Creek - tributary,27.0,36,246.0,Riverine (Perennial),0.75,C,2024
Third Creek - headwaters,36.0,36,336.0,Riverine (Perennial),1.0,A,2024
Third Creek - upper 2,33.0,36,343.0,Riverine (Perennial),0.9166666666666666,A,2024
Trout Creek - tributary 2,36.0,36,345.0,Riverine (Perennial),1.0,A,2024
Trout Creek - tributary 3,36.0,36,346.0,Riverine (Perennial),1.0,A,2024
UTR - Washoe Meadows,39.0,48,350.0,Riverine (Perennial),0.8125,B,2024
UTR - tributary 1,36.0,36,349.0,Riverine (Perennial),1.0,A,2024
UTR - tributary 3,36.0,36,348.0,Riverine (Perennial),1.0,A,2024
UTR - upper,30.0,36,236.0,Riverine (Perennial),0.8333333333333334,B,2024
Ward Creek - upper,45.0,48,257.0,Riverine (Perennial),0.9375,A,2024
Watson Creek,36.0,48,259.0,Riverine (Perennial),0.75,C,2024
Angora tributary,6.0,12,446.0,Riverine (Perennial),0.5,D,2024
Cold Creek tributary - 4,12.0,24,465.0,Riverine (Perennial),0.5,D,2024
Cold Creek tributary - 5,12.0,12,466.0,Riverine (Perennial),1.0,A,2024
Heavenly Valley Creek - upper,12.0,24,245.0,Riverine (Perennial),0.5,D,2024
Incline Village tributary - 1,6.0,12,458.0,Riverine (Perennial),0.5,D,2024
Marlette Creek - south fork (lower),21.0,48,643.0,Riverine (Perennial),0.4375,D,2024
Marlette Lake meadows,24.0,24,385.0,Riverine (Perennial),1.0,A,2024
McFaul Creek - lower,15.0,24,309.0,Riverine (Perennial),0.625,D,2024
McFual meadow,21.0,24,395.0,Riverine (Perennial),0.875,B,2024
Meeks Bay Lagoon,6.0,24,473.0,Riverine (Perennial),0.25,D,2024
Meeks Bay meadows - 3,24.0,24,388.0,Riverine (Perennial),1.0,A,2024
Meyers tributary - 1,12.0,24,447.0,Riverine (Perennial),0.5,D,2024
Rubicon Creek - tributary,15.0,24,325.0,Riverine (Perennial),0.625,D,2024
Slaughterhouse Creek - upper,24.0,24,333.0,Riverine (Perennial),1.0,A,2024
Snow Creek tributary - 2,9.0,12,452.0,Riverine (Perennial),0.75,C,2024
Third Creek - upper 3,24.0,24,344.0,Riverine (Perennial),1.0,A,2024
Third Creek meadows - 3,24.0,24,386.0,Riverine (Perennial),1.0,A,2024
West Shore tributary - 2 - lower,3.0,12,639.0,Riverine (Perennial),0.25,D,2024
West Shore tributary - 3,12.0,24,456.0,Riverine (Perennial),0.5,D,2024
small meadow 92,30.0,36,384.0,Riverine (Perennial),0.8333333333333334,B,2024
Angora Creek - tributary,63.0,84,519.0,Channeled Meadow,0.75,C,2024
Angora meadows - 1,78.0,96,87.0,Channeled Meadow,0.8125,B,2024
Angora meadows - 2,93.0,108,90.0,Non-Channeled Meadow,0.8611111111111112,B,2024
Angora meadows - 3,78.0,108,91.0,Non-Channeled Meadow,0.7222222222222222,C,2024
Angora meadows - 6,81.0,96,142.0,Non-Channeled Meadow,0.84375,B,2024
Angora meadows - 8,72.0,108,88.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Angora meadows tributary - 5,48.0,72,214.0,Channeled Meadow,0.6666666666666666,D,2024
Antone meadows,102.0,108,187.0,Channeled Meadow,0.9444444444444444,A,2024
Baldwin marsh - 1,72.0,96,160.0,Channeled Meadow,0.75,C,2024
Benwood meadows - 1,75.0,108,129.0,Non-Channeled Meadow,0.6944444444444444,A,2024
Benwood meadows - 2,93.0,108,131.0,Channeled Meadow,0.8611111111111112,B,2024
Big Meadow - 1,102.0,120,47.0,Non-Channeled Meadow,0.85,B,2024
Big Meadow - 4,78.0,84,39.0,Non-Channeled Meadow,0.9285714285714286,A,2024
Big Meadow Creek - lower,57.0,72,521.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Big Meadow Creek - upper 2,54.0,60,522.0,Channeled Meadow,0.9,A,2024
Blackwood Creek - Upper 1,60.0,72,599.0,Channeled Meadow,0.8333333333333334,B,2024
Blackwood Creek - Upper 2,60.0,72,526.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Blackwood Creek - lower 2,54.0,60,596.0,Channeled Meadow,0.9,A,2024
Blackwood Creek - middle 1,51.0,60,597.0,Channeled Meadow,0.85,B,2024
Blackwood Creek - middle 2,60.0,72,524.0,Channeled Meadow,0.8333333333333334,B,2024
Blackwood Creek - middle 3,51.0,60,598.0,Channeled Meadow,0.85,B,2024
Blackwood Creek - middle 4,50.0,72,525.0,Non-Channeled Meadow,0.6944444444444444,A,2024
Blackwood Creek - upper 3,51.0,60,527.0,Channeled Meadow,0.85,B,2024
Buck Lake meadows,75.0,84,176.0,Non-Channeled Meadow,0.8928571428571429,A,2024
Burke Creek - middle,51.0,60,528.0,Non-Channeled Meadow,0.85,B,2024
Burke Creek - upper,51.0,72,503.0,Non-Channeled Meadow,0.7083333333333334,C,2024
Burke Creek meadows - 1,93.0,120,171.0,Channeled Meadow,0.775,C,2024
Burke Creek tributary,39.0,48,461.0,Channeled Meadow,0.8125,B,2024
Burton Creek - lower,48.0,60,633.0,Non-Channeled Meadow,0.8,B,2024
Burton Creek - upper,57.0,72,529.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Carnelian Canyon Creek - lower,21.0,48,620.0,Channeled Meadow,0.4375,D,2024
Carnelian Canyon Creek - upper,48.0,48,621.0,Channeled Meadow,1.0,A,2024
Cascade Creek - lower,54.0,72,501.0,Non-Channeled Meadow,0.75,C,2024
Christmas Valley meadows - 1,75.0,96,136.0,Channeled Meadow,0.78125,C,2024
Christmas Valley meadows - 2,87.0,108,134.0,Channeled Meadow,0.8055555555555556,B,2024
Christmas Valley meadows - 3,93.0,108,130.0,Channeled Meadow,0.8611111111111112,B,2024
Cold Creek - Highland Woods,75.0,84,110.0,Non-Channeled Meadow,0.8928571428571429,A,2024
Cold Creek - middle,60.0,72,530.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Cold Creek - tributary 1,45.0,48,532.0,Channeled Meadow,0.9375,A,2024
Cold Creek - tributary 3,45.0,48,531.0,Non-Channeled Meadow,0.9375,A,2024
Deer Creek - headwaters,51.0,60,535.0,Channeled Meadow,0.85,B,2024
Deer Creek - lower,39.0,60,537.0,Channeled Meadow,0.65,D,2024
Deer Creek - middle,42.0,60,538.0,Channeled Meadow,0.7,C,2024
Deer Creek - middle 2,24.0,48,539.0,Non-Channeled Meadow,0.5,D,2024
Deer Creek - upper,42.0,72,536.0,Channeled Meadow,0.5833333333333334,D,2024
Dollar Creek - lower,48.0,60,540.0,Non-Channeled Meadow,0.8,B,2024
Echo Creek - below lake,45.0,60,541.0,Channeled Meadow,0.75,C,2024
Edgewood Creek - middle,57.0,72,542.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Edgewood Creek tributary - 2 - headwaters,42.0,48,462.0,Non-Channeled Meadow,0.875,B,2024
Edgewood Creek tributary - 2 - lower,24.0,36,476.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Edgewood Creek tributary - 2 - upper,42.0,60,635.0,Non-Channeled Meadow,0.7,C,2024
Edgewood Creek tributary - 3 - lower,33.0,72,628.0,Non-Channeled Meadow,0.4583333333333333,D,2024
Edgewood Creek tributary - 3 - upper,36.0,60,629.0,Non-Channeled Meadow,0.6,D,2024
General Creek - lower,54.0,72,544.0,Non-Channeled Meadow,0.75,C,2024
General Creek - middle,51.0,60,506.0,Channeled Meadow,0.85,B,2024
Ginny Lake Meadows,72.0,72,193.0,Non-Channeled Meadow,1.0,A,2024
Glen Alpine Creek - lower,48.0,72,546.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Glenbrook Creek - middle,39.0,60,510.0,Non-Channeled Meadow,0.65,D,2024
Glenbrook meadows - 1,99.0,108,177.0,Channeled Meadow,0.9166666666666666,A,2024
Griff Creek - lower,48.0,72,514.0,Channeled Meadow,0.6666666666666666,D,2024
Griff Creek meadows,87.0,96,35.0,Non-Channeled Meadow,0.90625,A,2024
Heavenly Valley Creek - middle,54.0,72,550.0,Non-Channeled Meadow,0.75,C,2024
Heavenly Valley Creek meadows - 1,51.0,96,111.0,Non-Channeled Meadow,0.53125,D,2024
