SEZ_ID,AOP_BarriersPerMile,AOP_DataSource,AOP_NumberofBarriers,AOP_Rating,AOP_Score,AOP_StreamMiles,Acres,Assessment_Unit_Name,Bank_Stability_Data_Source,Bank_Stability_Percent_Unstable,Bank_Stability_Rating,Bank_Stability_Score,Biotic_Integrity_CSCI,Biotic_Integrity_Data_Source,Biotic_Integrity_Rating,Biotic_Integrity_Score,Comments,ConiferEncroachment_Comments,Conifer_Encroachment_Data_Sourc,Conifer_Encroachment_Rating,Conifer_Encroachment_Score,Conifer_Percent_Encroached,Ditches_Data_Source,Ditches_Length,Ditches_Meadow_Length,Ditches_Percent,Ditches_Rating,Ditches_Score,Feature_Type,Habitat_Frag_Data_Source,Habitat_Frag_Impervious_Acres,Habitat_Frag_Percent_Impervious,Habitat_Frag_Rating,Habitat_Frag_Score,Headcuts_Data_Source,Headcuts_Rating,Headcuts_Score,Incision_Data_Source,Incision_Rating,Incision_Ratio,Incision_Score,Invasive_Percent_Cover,Invasives_Data_Source,Invasives_Number_of_Invasives,Invasives_Plant_Types,Invasives_Rating,Invasives_Scores,NDVI_ID,Number_of_Headcuts,Ownership_Primary,Ownership_Secondary,Ownership_Secondary_2,Ownership_Secondary_3,SEZ_Type,Threshold_Year,VegetationVigor_DataSource,VegetationVigor_Rating,VegetationVigor_Raw,VegetationVigor_Score
3,,"USFS / TRPA 2009, 2019",,,,,4.91902735,Burke Creek meadows - 2,,,NA,,,<Null>,<Null>,,Sagebrush encroachment is occuring into upper part of meadow. Heavy infestation of invasive species.,no conifer encroachment,"TRPA LIDAR, 2009",A,12.0,5.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,<Null>,NA,,,5,"USFS, 2023",1.0,Cheatgrass,B,9.0,TRPA_190,0.0,USFS,private,,,Non-Channeled Meadow,test,DRI 2024,B,,9.0
3,,"USFS / TRPA 2009, 2019",,,,,4.91902735,Burke Creek meadows - 2,,,,,,<Null>,<Null>,,Sagebrush encroachment is occuring into upper part of meadow. Heavy infestation of invasive species.,no conifer encroachment,"TRPA LIDAR, 2009",A,12.0,5.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,<Null>,,,,5,"USFS, 2023",1.0,Cheatgrass,B,9.0,TRPA_190,0.0,USFS,private,,,Non-Channeled Meadow,test,DRI 2024,B,,9.0
4,,"USFS / TRPA 2009, 2019",,,,,35.71823941,Washoe State Parks meadow - 1,,,NA,,,<Null>,<Null>,,Meadow was used as car racing track until 1980's when it was restored. Meadow appears to be mostly functioning well.,not much change in conifer levels since 1940 but a moderate amount of potential meadow habitat is encroached by conifers. ,"TRPA LIDAR, 2009",C,6.0,50.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.01,0.0279969,A,12.0,"TRPA, 2022",D,3.0,<Null>,NA,,,0,"TRPA, 2022",0.0,None,A,12.0,N/A,2.0,State of California,<Null>,,,Non-Channeled Meadow,test,DRI 2020,NA,,
4,,"USFS / TRPA 2009, 2019",,,,,35.71823941,Washoe State Parks meadow - 1,,,,,,<Null>,<Null>,,Meadow was used as car racing track until 1980's when it was restored. Meadow appears to be mostly functioning well.,not much change in conifer levels since 1940 but a moderate amount of potential meadow habitat is encroached by conifers. ,"TRPA LIDAR, 2009",C,6.0,50.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.01,0.0279969,A,12.0,"TRPA, 2022",D,3.0,<Null>,,,,0,"TRPA, 2022",0.0,None,A,12.0,N/A,2.0,State of California,<Null>,,,Non-Channeled Meadow,test,DRI 2020,NA,,
4,,"USFS / TRPA 2009, 2019",,,,,35.71823941,Washoe State Parks meadow - 1,,,NA,,,<Null>,<Null>,,Meadow was used as car racing track until 1980's when it was restored. Meadow appears to be mostly functioning well.,not much change in conifer levels since 1940 but a moderate amount of potential meadow habitat is encroached by conifers. ,"TRPA LIDAR, 2009",C,6.0,50.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.01,0.0279969,A,12.0,"TRPA, 2022",D,3.0,<Null>,NA,,,0,"TRPA, 2022",0.0,None,A,12.0,N/A,2.0,State of California,<Null>,,,Non-Channeled Meadow,test,DRI 2020,NA,,
4,,"USFS / TRPA 2009, 2019",,,,,35.71823941,Washoe State Parks meadow - 1,,,,,,<Null>,<Null>,,Meadow was used as car racing track until 1980's when it was restored. Meadow appears to be mostly functioning well.,not much change in conifer levels since 1940 but a moderate amount of potential meadow habitat is encroached by conifers. ,"TRPA LIDAR, 2009",C,6.0,50.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.01,0.0279969,A,12.0,"TRPA, 2022",D,3.0,<Null>,,,,0,"TRPA, 2022",0.0,None,A,12.0,N/A,2.0,State of California,<Null>,,,Non-Channeled Meadow,test,DRI 2020,NA,,
6,,"USFS / TRPA 2009, 2019",,,,,21.17242668,Slaughterhouse Meadows - 1,,,NA,,,<Null>,<Null>,,Mostly healthy with no signs of degradation. ,overall little conifer encroachment. mostly very tall willows.,"TRPA LIDAR, 2009",C,6.0,41.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.02,0.09606283,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",NA,,,0,"TRPA, 2023",2.0,"Bull thistle, Oxeye daisy",C,6.0,TRPA_252,0.0,private,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
6,,"USFS / TRPA 2009, 2019",,,,,21.17242668,Slaughterhouse Meadows - 1,,,,,,<Null>,<Null>,,Mostly healthy with no signs of degradation. ,overall little conifer encroachment. mostly very tall willows.,"TRPA LIDAR, 2009",C,6.0,41.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.02,0.09606283,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",,,,0,"TRPA, 2023",2.0,"Bull thistle, Oxeye daisy",C,6.0,TRPA_252,0.0,private,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
6,,"USFS / TRPA 2009, 2019",,,,,21.17242668,Slaughterhouse Meadows - 1,,,NA,,,<Null>,<Null>,,Mostly healthy except a new but small invasive species infestation.,overall little conifer encroachment. mostly very tall willows.,"TRPA LIDAR, 2009",C,6.0,41.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.02,0.09606283,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",NA,,,0,"TRPA, 2023",2.0,"Bull thistle, Oxeye daisy",C,6.0,TRPA_252,0.0,private,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
6,,"USFS / TRPA 2009, 2019",,,,,21.17242668,Slaughterhouse Meadows - 1,,,,,,<Null>,<Null>,,Mostly healthy except a new but small invasive species infestation.,overall little conifer encroachment. mostly very tall willows.,"TRPA LIDAR, 2009",C,6.0,41.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.02,0.09606283,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",,,,0,"TRPA, 2023",2.0,"Bull thistle, Oxeye daisy",C,6.0,TRPA_252,0.0,private,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
7,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,86.99413004,Upper Truckee River - Tahoe Paradise,"TRPA, 2023.0",17.98014582,B,9.0,0.85,"TRPA, 634TPA041, 2018",B,9.0,"Moderately incised. Open, dry meadow areas are interspered with heavy riparian woody vegetation. Some channel instability. Invasive reed canarygrass is widespread along banks. Project planned https://eip.laketahoeinfo.org/Project/FactSheet/01.02.01.0035",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,75.0,"TRPA, 2019",1314.0,4256.0,30.87406015,C,6.0,Meadow,"TRPA LIDAR, 2009",0.21,0.2413956,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",C,1.651775,6.0,1,"TRPA, 2023",1.0,False salsify,B,9.0,TRPA_338,0.0,State of California,USFS,local,,Channeled Meadow,test,DRI 2024,A,,12.0
7,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,86.99413004,Upper Truckee River - Tahoe Paradise,"TRPA, 2023.0",17.98014582,B,9.0,0.85,"TRPA, 634TPA041, 2018",B,9.0,"Moderately incised. Open, dry meadow areas are interspered with heavy riparian woody vegetation. Some channel instability. Invasive reed canarygrass is widespread along banks. Project planned https://eip.laketahoeinfo.org/Project/FactSheet/01.02.01.0035",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,75.0,"TRPA, 2019",1314.0,4256.0,30.87406015,C,6.0,Meadow,"TRPA LIDAR, 2009",0.21,0.2413956,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",C,1.651775,6.0,1,"TRPA, 2023",1.0,False salsify,B,9.0,TRPA_338,0.0,State of California,USFS,local,,Channeled Meadow,test,DRI 2024,A,,12.0
7,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,86.99413004,Upper Truckee River - Tahoe Paradise,"TRPA, 2023.0",17.98014582,B,9.0,0.85,"TRPA, 634TPA041, 2018",B,9.0,"Moderately incised. Open, dry meadow areas are interspered with heavy riparian woody vegetation. Some channel instability. Invasive reed canarygrass is widespread along banks. Project planned https://eip.laketahoeinfo.org/Project/FactSheet/01.02.01.0035",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,75.0,"TRPA, 2019",1314.0,4256.0,30.87406015,C,6.0,Meadow,"TRPA LIDAR, 2009",0.21,0.2413956,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",C,1.651775,6.0,1,"TRPA, 2023",1.0,False salsify,B,9.0,TRPA_338,0.0,State of California,USFS,local,,Channeled Meadow,test,DRI 2024,A,,12.0
7,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,86.99413004,Upper Truckee River - Tahoe Paradise,"TRPA, 2023.0",17.98014582,B,9.0,0.85,"TRPA, 634TPA041, 2018",B,9.0,"Moderately incised. Open, dry meadow areas are interspered with heavy riparian woody vegetation. Some channel instability. Invasive reed canarygrass is widespread along banks. Project planned https://eip.laketahoeinfo.org/Project/FactSheet/01.02.01.0035",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,75.0,"TRPA, 2019",1314.0,4256.0,30.87406015,C,6.0,Meadow,"TRPA LIDAR, 2009",0.21,0.2413956,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",C,1.651775,6.0,1,"TRPA, 2023",1.0,False salsify,B,9.0,TRPA_338,0.0,State of California,USFS,local,,Channeled Meadow,test,DRI 2024,A,,12.0
8,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,3.47216781,Hell Hole Meadows - 2,"TRPA, 2019.0",0.0,A,12.0,,NA,NA,,No indications of degradation. Unable to obtain NDVI measurements. ,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",B,1.22,3.0,0,"TRPA, 2019",0.0,,A,12.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
8,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,3.47216781,Hell Hole Meadows - 2,"TRPA, 2019.0",0.0,A,12.0,,,,,No indications of degradation. Unable to obtain NDVI measurements. ,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",B,1.22,3.0,0,"TRPA, 2019",0.0,,A,12.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
8,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,3.47216781,Hell Hole Meadows - 2,"TRPA, 2019.0",0.0,A,12.0,,NA,NA,,No indications of degradation. Unable to obtain NDVI measurements. ,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",B,1.22,3.0,0,"TRPA, 2019",0.0,,A,12.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
8,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,3.47216781,Hell Hole Meadows - 2,"TRPA, 2019.0",0.0,A,12.0,,,,,No indications of degradation. Unable to obtain NDVI measurements. ,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",B,1.22,3.0,0,"TRPA, 2019",0.0,,A,12.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
9,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,68.26584652,Trout Creek headwaters meadows - 2,"TRPA, 2022.0",0.0,A,12.0,1.1,"TRPA, 634S17337, 2017",A,12.0,No indications of degradation.,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",A,1.0,12.0,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_82,0.0,USFS,private,,,Channeled Meadow,test,DRI 2024,A,,12.0
9,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,68.26584652,Trout Creek headwaters meadows - 2,"TRPA, 2022.0",0.0,A,12.0,1.1,"TRPA, 634S17337, 2017",A,12.0,No indications of degradation.,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",A,1.0,12.0,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_82,0.0,USFS,private,,,Channeled Meadow,test,DRI 2024,A,,12.0
9,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,68.26584652,Trout Creek headwaters meadows - 2,"TRPA, 2022.0",0.0,A,12.0,1.1,"TRPA, 634S17337, 2017",A,12.0,No indications of degradation.,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",A,1.0,12.0,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_82,0.0,USFS,private,,,Channeled Meadow,test,DRI 2024,A,,12.0
9,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,68.26584652,Trout Creek headwaters meadows - 2,"TRPA, 2022.0",0.0,A,12.0,1.1,"TRPA, 634S17337, 2017",A,12.0,No indications of degradation.,overall moderate to heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",C,6.0,62.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2019",A,12.0,"TRPA, 2019",A,1.0,12.0,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_82,0.0,USFS,private,,,Channeled Meadow,test,DRI 2024,A,,12.0
10,,"USFS / TRPA 2009, 2019",,,,,2.55514212,small meadow 2,,,NA,,,<Null>,<Null>,,Mostly overtaken by sagebrush due to reduced water tables caused by headcuts and gullies. ,overall little conifer encroachment. small amount of pixels analyzed skews results.,"TRPA LIDAR, 2009",C,6.0,59.0,"TRPA, 2019",0.0,,100.0,D,3.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",C,6.0,<Null>,NA,,,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_237,5.0,USFS,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
10,,"USFS / TRPA 2009, 2019",,,,,2.55514212,small meadow 2,,,,,,<Null>,<Null>,,Mostly overtaken by sagebrush due to reduced water tables caused by headcuts and gullies. ,overall little conifer encroachment. small amount of pixels analyzed skews results.,"TRPA LIDAR, 2009",C,6.0,59.0,"TRPA, 2019",0.0,,100.0,D,3.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",C,6.0,<Null>,,,,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_237,5.0,USFS,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
10,,"USFS / TRPA 2009, 2019",,,,,2.55514212,small meadow 2,,,NA,,,<Null>,<Null>,,Moderately impaired meadow. Overtaken by sagebrush due to reduced water tables caused by headcuts and gullies. Improved NDVI score has increased overall score. ,overall little conifer encroachment. small amount of pixels analyzed skews results.,"TRPA LIDAR, 2009",C,6.0,59.0,"TRPA, 2019",0.0,,100.0,D,3.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",C,6.0,<Null>,NA,,,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_237,5.0,USFS,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
10,,"USFS / TRPA 2009, 2019",,,,,2.55514212,small meadow 2,,,,,,<Null>,<Null>,,Moderately impaired meadow. Overtaken by sagebrush due to reduced water tables caused by headcuts and gullies. Improved NDVI score has increased overall score. ,overall little conifer encroachment. small amount of pixels analyzed skews results.,"TRPA LIDAR, 2009",C,6.0,59.0,"TRPA, 2019",0.0,,100.0,D,3.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",C,6.0,<Null>,,,,0,"TRPA, 2022",0.0,None,A,12.0,TRPA_237,5.0,USFS,,,,Non-Channeled Meadow,test,DRI 2024,A,,12.0
11,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,5.04034473,small meadow 1,"TRPA, 2023.0",0.0,A,12.0,1.01,"TRPA, 634REFNLH, 2018",A,12.0,No indications of degradation.,overall little conifer encroachment since 1940.,"TRPA LIDAR, 2009",A,12.0,12.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2023",A,12.0,"TRPA, 2023",B,1.54176667,9.0,0,"TRPA, 2023",1.0,False salsify,B,9.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
