Assessment_Unit_Name,SEZ_ID,SEZ_Type
Marlette Creek - old dam site,564,Riverine (Perennial) + Forested
McFaul Creek - lower,565,Riverine (Perennial) + Forested
McKinney Creek - lower,566,Riverine (Perennial) + Forested
McKinney Creek - middle,567,Riverine (Perennial) + Forested
Mill Creek - lower,568,Riverine (Perennial) + Forested
North Zephyr Creek - tributary,569,Riverine (Perennial) + Forested
North Zephyr Creek - lower,570,Riverine (Perennial) + Forested
North Zephyr Creek - upper,571,Riverine (Perennial) + Forested
Osgood Creek - above road,572,Riverine (Perennial) + Forested
Osgood Creek - below road,573,Riverine (Perennial) + Forested
Quail Creek - lower,574,Riverine (Perennial) + Forested
Quail Creek - upper,575,Riverine (Perennial) + Forested
Rosewood Creek - lower,576,Riverine (Perennial) + Forested
Third Creek - lower,577,Riverine (Perennial) + Forested
Third Creek - lower 2,578,Riverine (Perennial) + Forested
Third Creek - middle 1,579,Riverine (Perennial) + Forested
Third Creek - middle 2,580,Riverine (Perennial) + Forested
Third Creek - middle,581,Riverine (Perennial) + Forested
Third Creek - upper 1,582,Riverine (Perennial) + Forested
Third Creek - upper 3,583,Riverine (Perennial) + Forested
Third Creek - upper 2,584,Riverine (Perennial) + Forested
Third Creek - headwaters,585,Riverine (Perennial) + Forested
Rosewood Creek - middle 1,586,Riverine (Perennial) + Forested
Rosewood Creek - middle 2,587,Riverine (Perennial) + Forested
Rosewood Creek - middle 3,588,Riverine (Perennial) + Forested
Woods Creek - lower,589,Riverine (Perennial) + Forested
Woods Creek - middle,590,Riverine (Perennial) + Forested
Second Creek - lower,591,Riverine (Perennial) + Forested
Second Creek - lower 2,592,Riverine (Perennial) + Forested
Second Creek - middle,593,Riverine (Perennial) + Forested
Ward Creek - lower,594,Riverine (Perennial) + Forested
Ward Creek - middle,595,Riverine (Perennial) + Forested
Blackwood Creek - lower 2,596,Riverine (Perennial) + Forested
Blackwood Creek - middle 1,597,Riverine (Perennial) + Forested
Blackwood Creek - middle 3,598,Riverine (Perennial) + Forested
Blackwood Creek - Upper 1,599,Riverine (Perennial) + Forested
Homewood Canyon Creek - lower,600,Riverine (Perennial) + Forested
Rubicon Creek,601,Riverine (Perennial) + Forested
Rubicon Creek - tributary,602,Riverine (Perennial) + Forested
Tallac Creek - abv highway - 1,603,Riverine (Perennial)
Tallac Creek - abv highway - 2,604,Riverine (Perennial) + Forested
Taylor Creek,605,Riverine (Perennial) + Forested
Glen Alpine Creek - upper,606,Riverine (Perennial) + Forested
UTR - Washoe Meadows,607,Riverine (Perennial) + Forested
UTR - Christmas Valley 1,608,Riverine (Perennial) + Forested
Grass Lake Creek,609,Riverine (Perennial) + Forested
UTR - tributary 1,610,Riverine (Perennial) + Forested
UTR - tributary 3,611,Riverine (Perennial) + Forested
Trout Creek - tributary 3,612,Riverine (Perennial) + Forested
Trout Creek - tributary 2,613,Riverine (Perennial) + Forested
Slaughterhouse Creek - lower,614,Riverine (Perennial) + Forested
North Zephyr Creek - middle,615,Riverine (Perennial) + Forested
Slaughterhouse Creek - middle,616,Riverine (Perennial) + Forested
Slaughterhouse Creek - upper,617,Riverine (Perennial) + Forested
Secret Harbor Creek - lower,618,Riverine (Perennial) + Forested
Secret Harbor Creek - upper,619,Riverine (Perennial) + Forested
Carnelian Canyon Creek - lower,620,Riverine (Perennial) + Forested
Carnelian Canyon Creek - upper,621,Riverine (Perennial) + Forested
Skylandia SEZ,622,Forested
small meadow 20,623,Channeled Meadow
Lake Forest tributary,624,Riverine (Perennial)
Ward Creek meadow,625,Non-Channeled Meadow
McKinney tributary - 1,626,Forested
South Lake Tahoe tributary - 3,627,Forested
Edgewood Creek tributary - 3 - lower,628,Forested
Edgewood Creek tributary - 3 - upper,629,Forested
Marlette Creek - upper,630,Riverine (Perennial)
Marlette Creek - upper,631,Riverine (Perennial) + Forested
Tahoe Paradise golf course,632,Non-Channeled Meadow
Burton Creek - lower,633,Riverine (Perennial) + Forested
Burton Creek - lower,634,Riverine (Perennial)
Edgewood Creek tributary - 2 - upper,635,Forested
Incline Creek - middle 3,636,Riverine (Perennial) + Forested
Incline Creek - middle 3,637,Riverine (Perennial)
Lake Forest meadows - 4,638,Riverine (Perennial)
West Shore tributary - 2 - lower,639,Forested
Saxon Creek - upper,640,Riverine (Perennial)
Saxon Creek - upper,641,Riverine (Perennial) + Forested
Marlette Creek - south fork (lower),642,Riverine (Perennial) + Forested
Marlette Creek - south fork (lower),643,Riverine (Perennial)
